ID;rulesetID;dataentry
e596869d-f4c6-4ca6-a5a1-2d03abccaf16;e596869d-f4c6-4ca6-a5a1-2d03abccaf11;Tax Documents
e596869d-f4c6-4ca6-a5a1-2d03abccaf17;e596869d-f4c6-4ca6-a5a1-2d03abccaf11;Social security number
e596869d-f4c6-4ca6-a5a1-2d03abccaf18;e596869d-f4c6-4ca6-a5a1-2d03abccaf12;Contracts
e596869d-f4c6-4ca6-a5a1-2d03abccaf19;e596869d-f4c6-4ca6-a5a1-2d03abccaf12;Addendum
e596869d-f4c6-4ca6-a5a1-2d03abccaf21;e596869d-f4c6-4ca6-a5a1-2d03abccaf13;Item ID
e596869d-f4c6-4ca6-a5a1-2d03abccaf22;e596869d-f4c6-4ca6-a5a1-2d03abccaf13;Duration
e596869d-f4c6-4ca6-a5a1-2d03abccaf23;e596869d-f4c6-4ca6-a5a1-2d03abccaf13;Completion status
e596869d-f4c6-4ca6-a5a1-2d03abccaf24;e596869d-f4c6-4ca6-a5a1-2d03abccaf13;Completed day
e596869d-f4c6-4ca6-a5a1-2d03abccaf25;e596869d-f4c6-4ca6-a5a1-2d03abccaf15;First Name
e596869d-f4c6-4ca6-a5a1-2d03abccaf26;e596869d-f4c6-4ca6-a5a1-2d03abccaf15;Last Name
e596869d-f4c6-4ca6-a5a1-2d03abccaf27;e596869d-f4c6-4ca6-a5a1-2d03abccaf15;Global ID
e596869d-f4c6-4ca6-a5a1-2d03abccaf28;e596869d-f4c6-4ca6-a5a1-2d03abccaf15;First Name
e596869d-f4c6-4ca6-a5a1-2d03abccaf29;e596869d-f4c6-4ca6-a5a1-2d03abccaf15;Location
e596869d-f4c6-4ca6-a5a1-2d03abccaf31;e596869d-f4c6-4ca6-a5a1-2d03abccaf15;Cost Center
e596869d-f4c6-4ca6-a5a1-2d03abccaf32;e596869d-f4c6-4ca6-a5a1-2d03abccaf14;Item ID
e596869d-f4c6-4ca6-a5a1-2d03abccaf33;e596869d-f4c6-4ca6-a5a1-2d03abccaf14;Duration
e596869d-f4c6-4ca6-a5a1-2d03abccaf34;e596869d-f4c6-4ca6-a5a1-2d03abccaf14;Completion status
e596869d-f4c6-4ca6-a5a1-2d03abccaf35;e596869d-f4c6-4ca6-a5a1-2d03abccaf14;Completed day